region,price,dateISO,regionDesc,country
2,0.44999999,01/01/1992,London,England
2,0.89999998,01/02/2019,London,England
2,0.77999997,01/03/2005,London,England
2,1.39,01/08/2012,London,England
2,0.64999998,01/07/1995,London,England
2,1,01/02/2019,London,England
2,1,01/01/2019,London,England
2,0.60000002,01/09/1998,London,England
2,0.49000001,01/10/1992,London,England
2,0.55000001,01/05/1998,London,England
2,1.5,01/02/2019,London,England
2,0.69,01/09/1999,London,England
2,0.89999998,01/11/2018,London,England
2,1.1,01/02/2016,London,England
2,0.41999999,01/02/1995,London,England
2,0.79000002,01/04/2001,London,England
2,0.34999999,01/03/1994,London,England
2,0.79000002,01/01/2009,London,England
2,0.69,01/06/1993,London,England
2,0.98000002,01/01/2012,London,England
2,0.69,01/01/2021,London,England
2,1.95,01/03/2018,London,England
2,0.88,01/08/2009,London,England
2,0.89999998,01/11/2020,London,England
2,0.98000002,01/12/2018,London,England
2,0.79000002,01/04/2022,London,England
2,0.38999999,01/12/2008,London,England
2,2.0999999,01/10/2020,London,England
2,1.5,01/06/2019,London,England
2,0.38999999,01/05/1989,London,England
2,0.85000002,01/02/2019,London,England
2,0.60000002,01/05/2000,London,England
2,0.99000001,01/02/2018,London,England
2,0.55000001,01/11/1989,London,England
2,1,01/02/2019,London,England
2,1,01/02/2019,London,England
2,0.75,01/06/2004,London,England
2,1.05,01/09/2015,London,England
2,0.49000001,01/05/2006,London,England
2,1,01/02/2021,London,England
2,0.99000001,01/04/1997,London,England
2,1,01/02/2019,London,England
2,0.79000002,01/06/2006,London,England
2,0.88,01/06/2022,London,England
2,1,01/02/2019,London,England
2,0.88999999,01/04/2005,London,England
2,0.58999997,01/02/1996,London,England
2,0.85000002,01/08/2009,London,England
2,1.1,01/08/2018,London,England
2,0.5,01/04/2001,London,England
2,0.56999999,01/08/1989,London,England
2,0.89999998,01/02/2019,London,England
2,0.38999999,01/12/2005,London,England
2,2.0999999,01/10/2021,London,England
2,0.47999999,01/06/2019,London,England
2,0.68000001,01/05/2020,London,England
