dateISO,p_mean,regionDesc,country
01/11/2013,0.89666665,Wales,Wales
01/11/2013,0.89687502,Scotland,Scotland
01/11/2013,1.1928571,Northern Ireland,Northern Ireland
01/12/2013,0.95185184,London,England
01/12/2013,0.91750002,South East,England
01/12/2013,0.8915,South West,England
01/12/2013,1.0147619,East Anglia,England
01/12/2013,0.92769229,East Midlands,England
01/12/2013,0.91062498,West Midlands,England
01/12/2013,0.9392308,Yorkshire & Humber,England
01/12/2013,0.9036842,North West,England
01/12/2013,0.95111108,North,England
01/12/2013,0.98874998,Wales,Wales
01/12/2013,0.89999998,Scotland,Scotland
01/12/2013,1.0371429,Northern Ireland,Northern Ireland
01/01/2014,0.99666667,London,England
01/01/2014,0.97294116,South East,England
01/01/2014,0.96649998,South West,England
01/01/2014,1.0472727,East Anglia,England
01/01/2014,0.8814286,East Midlands,England
01/01/2014,0.94125003,West Midlands,England
01/01/2014,0.96428573,Yorkshire & Humber,England
01/01/2014,0.98952383,North West,England
01/01/2014,1.00375,North,England
01/01/2014,0.89899999,Wales,Wales
01/01/2014,0.91105264,Scotland,Scotland
01/01/2014,1.1166667,Northern Ireland,Northern Ireland
01/02/2014,0.98000002,London,England
01/02/2014,0.92548388,South East,England
01/02/2014,0.94894737,South West,England
01/02/2014,0.96555555,East Anglia,England
01/02/2014,0.93333334,East Midlands,England
01/02/2014,0.94846153,West Midlands,England
01/02/2014,0.85642856,Yorkshire & Humber,England
01/02/2014,0.95950001,North West,England
01/02/2014,1.00375,North,England
01/02/2014,0.99124998,Wales,Wales
01/02/2014,0.86285716,Scotland,Scotland
01/02/2014,1.0942857,Northern Ireland,Northern Ireland
01/03/2014,0.99241382,London,England
01/03/2014,0.95968747,South East,England
01/03/2014,0.9822222,South West,England
01/03/2014,0.97000003,East Anglia,England
01/03/2014,1.0128572,East Midlands,England
01/03/2014,0.98199999,West Midlands,England
01/03/2014,0.89285713,Yorkshire & Humber,England
01/03/2014,0.96590906,North West,England
01/03/2014,1.0185714,North,England
01/03/2014,1.00375,Wales,Wales
01/03/2014,0.85533333,Scotland,Scotland
01/03/2014,1.02,Northern Ireland,Northern Ireland
01/04/2014,0.94592595,London,England
01/04/2014,0.95935482,South East,England
01/04/2014,0.92699999,South West,England
01/04/2014,0.99000001,East Anglia,England
01/04/2014,1.025,East Midlands,England
01/04/2014,1.0086666,West Midlands,England
01/04/2014,0.91000003,Yorkshire & Humber,England
01/04/2014,0.94608694,North West,England
01/04/2014,0.91333336,North,England
01/04/2014,0.99124998,Wales,Wales
01/04/2014,0.91888887,Scotland,Scotland
01/04/2014,1.045,Northern Ireland,Northern Ireland
01/05/2014,0.94999999,London,England
01/05/2014,0.97032255,South East,England
01/05/2014,0.90090907,South West,England
01/05/2014,0.94521737,East Anglia,England
01/05/2014,0.98076922,East Midlands,England
01/05/2014,0.95749998,West Midlands,England
01/05/2014,0.91764706,Yorkshire & Humber,England
01/05/2014,0.9072727,North West,England
01/05/2014,0.94,North,England
01/05/2014,0.935,Wales,Wales
01/05/2014,0.95222223,Scotland,Scotland
01/05/2014,1.0742857,Northern Ireland,Northern Ireland
01/06/2014,0.91218752,London,England
01/06/2014,0.91133332,South East,England
01/06/2014,0.81900001,South West,England
01/06/2014,0.95391303,East Anglia,England
01/06/2014,0.89249998,East Midlands,England
01/06/2014,0.89999998,West Midlands,England
01/06/2014,0.90428573,Yorkshire & Humber,England
01/06/2014,0.92434782,North West,England
01/06/2014,0.94,North,England
01/06/2014,0.8814286,Wales,Wales
01/06/2014,0.88375002,Scotland,Scotland
01/06/2014,1.0228572,Northern Ireland,Northern Ireland
01/07/2014,0.9009375,London,England
01/07/2014,0.89862067,South East,England
01/07/2014,0.95999998,South West,England
01/07/2014,0.9425,East Anglia,England
01/07/2014,0.9392857,East Midlands,England
01/07/2014,0.98750001,West Midlands,England
01/07/2014,0.89133334,Yorkshire & Humber,England
01/07/2014,0.97090912,North West,England
01/07/2014,0.949,North,England
01/07/2014,0.95875001,Wales,Wales
01/07/2014,0.90249997,Scotland,Scotland
